instance,algorithm,run_id,cost,time
ESC07.sop,GA,0,2125,0.35407304763793945
ESC07.sop,ACO,0,2125,0.3200564384460449
ESC07.sop,GA,1,2125,0.29294490814208984
ESC07.sop,ACO,1,2125,0.2674832344055176
ESC07.sop,GA,2,2125,0.37648868560791016
ESC07.sop,ACO,2,2125,0.28601980209350586
ESC07.sop,GA,3,2125,0.2803018093109131
ESC07.sop,ACO,3,2125,0.2967674732208252
ESC07.sop,GA,4,2125,0.2936227321624756
ESC07.sop,ACO,4,2125,0.27838945388793945
ESC07.sop,GA,5,2125,0.27716541290283203
ESC07.sop,ACO,5,2125,0.2621333599090576
ESC07.sop,GA,6,2125,0.2729833126068115
ESC07.sop,ACO,6,2125,0.2829625606536865
ESC07.sop,GA,7,2125,0.2832822799682617
ESC07.sop,ACO,7,2125,0.3060336112976074
ESC07.sop,GA,8,2125,0.313096284866333
ESC07.sop,ACO,8,2125,0.26435160636901855
ESC07.sop,GA,9,2125,0.31091928482055664
ESC07.sop,ACO,9,2125,0.2770273685455322
ESC11.sop,GA,0,2194,0.7448339462280273
ESC11.sop,ACO,0,2075,0.7889852523803711
ESC11.sop,GA,1,2432,0.818300724029541
ESC11.sop,ACO,1,2209,1.1121721267700195
ESC11.sop,GA,2,2376,0.3806591033935547
ESC11.sop,ACO,2,2267,1.0866494178771973
ESC11.sop,GA,3,2248,0.4607200622558594
ESC11.sop,ACO,3,2209,1.2356901168823242
ESC11.sop,GA,4,2194,0.39125847816467285
ESC11.sop,ACO,4,2336,1.235992193222046
ESC11.sop,GA,5,2456,0.3605825901031494
ESC11.sop,ACO,5,2075,1.219590187072754
ESC11.sop,GA,6,2469,1.1102526187896729
ESC11.sop,ACO,6,2075,1.125732183456421
ESC11.sop,GA,7,2145,0.5761508941650391
ESC11.sop,ACO,7,2209,0.9903595447540283
ESC11.sop,GA,8,2194,0.5776762962341309
ESC11.sop,ACO,8,2267,0.9407374858856201
ESC11.sop,GA,9,2583,0.3865988254547119
ESC11.sop,ACO,9,2075,1.3065509796142578
ESC12.sop,GA,0,1751,0.40973711013793945
ESC12.sop,ACO,0,1675,1.2211294174194336
ESC12.sop,GA,1,1752,0.8284101486206055
ESC12.sop,ACO,1,1675,1.1736054420471191
ESC12.sop,GA,2,1675,0.7687232494354248
ESC12.sop,ACO,2,1675,1.238860845565796
ESC12.sop,GA,3,1760,0.47687387466430664
ESC12.sop,ACO,3,1675,1.3698387145996094
ESC12.sop,GA,4,1728,0.5734021663665771
ESC12.sop,ACO,4,1675,1.590712070465088
ESC12.sop,GA,5,1847,0.7313964366912842
ESC12.sop,ACO,5,1675,1.2258551120758057
ESC12.sop,GA,6,1751,0.7206287384033203
ESC12.sop,ACO,6,1675,1.3749544620513916
ESC12.sop,GA,7,1751,0.9092779159545898
ESC12.sop,ACO,7,1675,1.3886396884918213
ESC12.sop,GA,8,1751,0.9032459259033203
ESC12.sop,ACO,8,1675,1.1610503196716309
ESC12.sop,GA,9,1760,0.5433878898620605
ESC12.sop,ACO,9,1675,1.0885465145111084
ESC25.sop,GA,0,4167,1.4506404399871826
ESC25.sop,ACO,0,2040,3.437281370162964
ESC25.sop,GA,1,3754,2.224600076675415
ESC25.sop,ACO,1,2040,4.156340599060059
ESC25.sop,GA,2,3477,1.3501172065734863
ESC25.sop,ACO,2,2040,3.560828447341919
ESC25.sop,GA,3,3495,1.136866807937622
ESC25.sop,ACO,3,2194,2.5911552906036377
ESC25.sop,GA,4,3266,2.402742624282837
ESC25.sop,ACO,4,2040,3.869224786758423
ESC25.sop,GA,5,3478,2.420236825942993
ESC25.sop,ACO,5,2040,3.0689048767089844
ESC25.sop,GA,6,4064,1.9009506702423096
ESC25.sop,ACO,6,2040,4.144201993942261
ESC25.sop,GA,7,4307,2.1642348766326904
ESC25.sop,ACO,7,2040,3.6946568489074707
ESC25.sop,GA,8,4070,1.9816491603851318
ESC25.sop,ACO,8,2260,5.245630502700806
ESC25.sop,GA,9,3937,1.1182522773742676
ESC25.sop,ACO,9,2271,5.170820474624634
ESC47.sop,GA,0,7767,3.1847140789031982
ESC47.sop,ACO,0,2631,12.31312084197998
ESC47.sop,GA,1,5428,4.203574895858765
ESC47.sop,ACO,1,2828,15.283767938613892
ESC47.sop,GA,2,8103,4.107295036315918
ESC47.sop,ACO,2,2640,20.875398874282837
ESC47.sop,GA,3,7274,4.054681777954102
ESC47.sop,ACO,3,2458,17.84805464744568
ESC47.sop,GA,4,7297,3.727478504180908
ESC47.sop,ACO,4,2427,21.676214694976807
ESC47.sop,GA,5,5970,4.376951217651367
ESC47.sop,ACO,5,2538,21.651775121688843
ESC47.sop,GA,6,6035,4.105285406112671
ESC47.sop,ACO,6,2365,23.914058208465576
ESC47.sop,GA,7,7508,4.262867450714111
ESC47.sop,ACO,7,2426,13.4462251663208
ESC47.sop,GA,8,6909,4.218874454498291
ESC47.sop,ACO,8,2447,21.910441160202026
ESC47.sop,GA,9,6432,4.221003532409668
ESC47.sop,ACO,9,2373,18.42644238471985
ESC63.sop,GA,0,102,5.47353458404541
ESC63.sop,ACO,0,63,35.61842727661133
ESC63.sop,GA,1,109,5.540599822998047
ESC63.sop,ACO,1,63,22.732261180877686
ESC63.sop,GA,2,89,5.678832530975342
ESC63.sop,ACO,2,63,35.32392764091492
ESC63.sop,GA,3,99,5.523040294647217
ESC63.sop,ACO,3,62,28.407647371292114
ESC63.sop,GA,4,105,5.616341829299927
ESC63.sop,ACO,4,64,20.83454203605652
ESC63.sop,GA,5,95,5.586206436157227
ESC63.sop,ACO,5,62,20.51010823249817
ESC63.sop,GA,6,91,5.69468355178833
ESC63.sop,ACO,6,62,24.091201782226562
ESC63.sop,GA,7,91,5.629650592803955
ESC63.sop,ACO,7,63,36.6279354095459
ESC63.sop,GA,8,100,5.587786674499512
ESC63.sop,ACO,8,63,24.96028447151184
ESC63.sop,GA,9,106,5.567677736282349
ESC63.sop,ACO,9,62,23.161734342575073
ESC78.sop,GA,0,20855,7.212007999420166
ESC78.sop,ACO,0,20210,31.45111322402954
ESC78.sop,GA,1,20315,6.996928453445435
ESC78.sop,ACO,1,20635,48.75534129142761
ESC78.sop,GA,2,20375,7.250384092330933
ESC78.sop,ACO,2,20515,49.8335816860199
ESC78.sop,GA,3,20245,6.953797340393066
ESC78.sop,ACO,3,20690,49.42340111732483
ESC78.sop,GA,4,20630,7.483438491821289
ESC78.sop,ACO,4,20625,34.0598840713501
ESC78.sop,GA,5,19740,7.245765686035156
ESC78.sop,ACO,5,20035,56.31046938896179
ESC78.sop,GA,6,20270,7.295172452926636
ESC78.sop,ACO,6,20340,55.96040868759155
ESC78.sop,GA,7,20050,7.3613574504852295
ESC78.sop,ACO,7,19580,54.682316303253174
ESC78.sop,GA,8,20635,7.4069297313690186
ESC78.sop,ACO,8,19710,31.588252544403076
ESC78.sop,GA,9,20505,7.338774919509888
ESC78.sop,ACO,9,19820,62.34242486953735
